NOC,Gold,Silver,Bronze,Total,source_file
LTU,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
MEX,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
MGL,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
IND,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
MOZ,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
PUR,0,0,1,1,Atlanta 1996 Olympics Nations Medals.csv
NOR,16,8,13,37,beijing_2022_Olympics_Nations_Medals.csv
GER,12,10,5,27,beijing_2022_Olympics_Nations_Medals.csv
USA,8,10,7,25,beijing_2022_Olympics_Nations_Medals.csv
CHN,9,4,2,15,beijing_2022_Olympics_Nations_Medals.csv
SWE,8,5,5,18,beijing_2022_Olympics_Nations_Medals.csv
NED,8,5,4,17,beijing_2022_Olympics_Nations_Medals.csv
AUT,7,7,4,18,beijing_2022_Olympics_Nations_Medals.csv
SUI,7,2,6,15,beijing_2022_Olympics_Nations_Medals.csv
ROC,6,12,14,32,beijing_2022_Olympics_Nations_Medals.csv
FRA,5,7,2,14,beijing_2022_Olympics_Nations_Medals.csv
CAN,4,8,14,26,beijing_2022_Olympics_Nations_Medals.csv
JPN,3,6,9,18,beijing_2022_Olympics_Nations_Medals.csv
ITA,2,7,8,17,beijing_2022_Olympics_Nations_Medals.csv
KOR,2,5,2,9,beijing_2022_Olympics_Nations_Medals.csv
SLO,2,3,2,7,beijing_2022_Olympics_Nations_Medals.csv
FIN,2,2,4,8,beijing_2022_Olympics_Nations_Medals.csv
NZL,2,1,0,3,beijing_2022_Olympics_Nations_Medals.csv
AUS,1,2,1,4,beijing_2022_Olympics_Nations_Medals.csv
GBR,1,1,0,2,beijing_2022_Olympics_Nations_Medals.csv
HUN,1,0,2,3,beijing_2022_Olympics_Nations_Medals.csv
CZE,1,0,1,2,beijing_2022_Olympics_Nations_Medals.csv
SVK,1,0,1,2,beijing_2022_Olympics_Nations_Medals.csv
BLR,0,2,0,2,beijing_2022_Olympics_Nations_Medals.csv
ESP,0,1,0,1,beijing_2022_Olympics_Nations_Medals.csv
UKR,0,1,0,1,beijing_2022_Olympics_Nations_Medals.csv
BEL,0,1,0,1,beijing_2022_Olympics_Nations_Medals.csv
EST,0,0,1,1,beijing_2022_Olympics_Nations_Medals.csv
LVA,0,0,1,1,beijing_2022_Olympics_Nations_Medals.csv
POL,0,0,1,1,beijing_2022_Olympics_Nations_Medals.csv
RUS,11,8,4,23,Lillehammer 1994 Olympics Nations Medals.csv
NOR,10,11,5,26,Lillehammer 1994 Olympics Nations Medals.csv
GER,9,7,8,24,Lillehammer 1994 Olympics Nations Medals.csv
ITA,7,5,8,20,Lillehammer 1994 Olympics Nations Medals.csv
USA,6,5,2,13,Lillehammer 1994 Olympics Nations Medals.csv
KOR,4,1,1,6,Lillehammer 1994 Olympics Nations Medals.csv
CAN,3,6,4,13,Lillehammer 1994 Olympics Nations Medals.csv
SUI,3,4,2,9,Lillehammer 1994 Olympics Nations Medals.csv
AUT,2,3,4,9,Lillehammer 1994 Olympics Nations Medals.csv
SWE,2,1,0,3,Lillehammer 1994 Olympics Nations Medals.csv
JPN,1,2,2,5,Lillehammer 1994 Olympics Nations Medals.csv
KAZ,1,2,0,3,Lillehammer 1994 Olympics Nations Medals.csv
UKR,1,0,1,2,Lillehammer 1994 Olympics Nations Medals.csv
UZB,1,0,0,1,Lillehammer 1994 Olympics Nations Medals.csv
BLR,0,2,0,2,Lillehammer 1994 Olympics Nations Medals.csv
FIN,0,1,5,6,Lillehammer 1994 Olympics Nations Medals.csv
FRA,0,1,4,5,Lillehammer 1994 Olympics Nations Medals.csv
NED,0,1,3,4,Lillehammer 1994 Olympics Nations Medals.csv
CHN,0,1,2,3,Lillehammer 1994 Olympics Nations Medals.csv
