NOC,Gold,Silver,Bronze,Total,City
POL,1,0,1,2,PyeongChang
UKR,1,0,0,1,PyeongChang
HUN,1,0,0,1,PyeongChang
AUS,0,2,1,3,PyeongChang
SLO,0,1,1,2,PyeongChang
BEL,0,1,0,1,PyeongChang
NZL,0,0,2,2,PyeongChang
ESP,0,0,2,2,PyeongChang
KAZ,0,0,1,1,PyeongChang
LIE,0,0,1,1,PyeongChang
LAT,0,0,1,1,PyeongChang
USA,46,37,38,121,Rio
GBR,27,23,17,67,Rio
CHN,26,18,26,70,Rio
RUS,19,17,20,56,Rio
GER,17,10,15,42,Rio
JPN,12,8,21,41,Rio
FRA,10,18,14,42,Rio
KOR,9,3,9,21,Rio
ITA,8,12,8,28,Rio
AUS,8,11,10,29,Rio
NED,8,7,4,19,Rio
HUN,8,3,4,15,Rio
BRA,7,6,6,19,Rio
ESP,7,4,6,17,Rio
KEN,6,6,1,13,Rio
JAM,6,3,2,11,Rio
CRO,5,3,2,10,Rio
CUB,5,2,4,11,Rio
NZL,4,9,5,18,Rio
CAN,4,3,15,22,Rio
UZB,4,2,7,13,Rio
COL,3,2,3,8,Rio
SUI,3,2,2,7,Rio
IRI,3,1,4,8,Rio
GRE,3,1,2,6,Rio
ARG,3,1,0,4,Rio
DEN,2,6,7,15,Rio
SWE,2,6,3,11,Rio
RSA,2,6,2,10,Rio
KAZ,2,5,10,17,Rio
UKR,2,5,4,11,Rio
SRB,2,4,2,8,Rio
POL,2,3,6,11,Rio
PRK,2,3,2,7,Rio
BEL,2,2,2,6,Rio
THA,2,2,2,6,Rio
SVK,2,2,0,4,Rio
GEO,2,1,4,7,Rio
AZE,1,7,10,18,Rio
BLR,1,4,4,9,Rio
TUR,1,3,4,8,Rio
ARM,1,3,0,4,Rio
CZE,1,2,7,10,Rio
ETH,1,2,5,8,Rio
SLO,1,2,1,4,Rio
INA,1,2,0,3,Rio
ROU,1,1,2,4,Rio
BRN,1,1,0,2,Rio
VIE,1,1,0,2,Rio
TPE,1,0,2,3,Rio
IOA,1,0,1,2,Rio
BAH,1,0,1,2,Rio
CIV,1,0,1,2,Rio
KOS,1,0,0,1,Rio
TJK,1,0,0,1,Rio
FIJ,1,0,0,1,Rio
JOR,1,0,0,1,Rio
PUR,1,0,0,1,Rio
SIN,1,0,0,1,Rio
MAS,0,4,1,5,Rio
MEX,0,3,2,5,Rio
VEN,0,2,1,3,Rio
ALG,0,2,0,2,Rio
IRL,0,2,0,2,Rio
LTU,0,1,3,4,Rio
BUL,0,1,2,3,Rio
MGL,0,1,1,2,Rio
IND,0,1,1,2,Rio
NIG,0,1,0,1,Rio
PHI,0,1,0,1,Rio
QAT,0,1,0,1,Rio
BDI,0,1,0,1,Rio
GRN,0,1,0,1,Rio
NOR,0,0,4,4,Rio
EGY,0,0,3,3,Rio
TUN,0,0,3,3,Rio
NGR,0,0,1,1,Rio
DOM,0,0,1,1,Rio
EST,0,0,1,1,Rio
TTO,0,0,1,1,Rio
UAE,0,0,1,1,Rio
AUT,0,0,1,1,Rio
POR,0,0,1,1,Rio
FIN,0,0,1,1,Rio
MAR,0,0,1,1,Rio
NOR,13,5,7,25,SaltLakeCity
GER,12,16,8,36,SaltLakeCity
USA,10,13,11,34,SaltLakeCity
CAN,7,3,7,17,SaltLakeCity
RUS,5,4,4,13,SaltLakeCity
FRA,4,5,2,11,SaltLakeCity
ITA,4,4,5,13,SaltLakeCity
FIN,4,2,1,7,SaltLakeCity
NED,3,5,0,8,SaltLakeCity
AUT,3,4,10,17,SaltLakeCity
SUI,3,2,6,11,SaltLakeCity
CRO,3,1,0,4,SaltLakeCity
CHN,2,2,4,8,SaltLakeCity
KOR,2,2,0,4,SaltLakeCity
AUS,2,0,0,2,SaltLakeCity
CZE,1,2,0,3,SaltLakeCity
EST,1,1,1,3,SaltLakeCity
GBR,1,0,1,2,SaltLakeCity
SWE,0,2,5,7,SaltLakeCity
BUL,0,1,2,3,SaltLakeCity
POL,0,1,1,2,SaltLakeCity
JPN,0,1,1,2,SaltLakeCity
BLR,0,0,1,1,SaltLakeCity
SLO,0,0,1,1,SaltLakeCity
RUS,11,9,9,29,Sochi
NOR,11,6,9,26,Sochi
CAN,10,10,5,25,Sochi
USA,9,9,10,28,Sochi
NED,8,7,9,24,Sochi
GER,8,6,5,19,Sochi
SUI,7,2,2,11,Sochi
BLR,5,0,1,6,Sochi
AUT,4,8,5,17,Sochi
FRA,4,4,7,15,Sochi
POL,4,1,1,6,Sochi
CHN,3,4,2,9,Sochi
KOR,3,3,2,8,Sochi
SWE,2,7,6,15,Sochi
CZE,2,4,3,9,Sochi
SLO,2,2,4,8,Sochi
JPN,1,4,3,8,Sochi
FIN,1,3,1,5,Sochi
GBR,1,1,3,5,Sochi
LAT,1,1,3,5,Sochi
UKR,1,1,0,2,Sochi
SVK,1,0,0,1,Sochi
ITA,0,2,7,9,Sochi
AUS,0,2,1,3,Sochi
CRO,0,1,0,1,Sochi
KAZ,0,0,1,1,Sochi
USA,37,24,32,93,Sydney
RUS,32,28,29,89,Sydney
CHN,28,16,14,58,Sydney
AUS,16,25,17,58,Sydney
GER,13,17,26,56,Sydney
FRA,13,14,11,38,Sydney
ITA,13,8,13,34,Sydney
NED,12,9,4,25,Sydney
CUB,11,11,7,29,Sydney
GBR,11,10,7,28,Sydney
ROU,11,6,9,26,Sydney
KOR,8,10,10,28,Sydney
HUN,8,6,3,17,Sydney
POL,6,5,3,14,Sydney
JPN,5,8,5,18,Sydney
BUL,5,6,2,13,Sydney
GRE,4,6,3,13,Sydney
SWE,4,5,3,12,Sydney
NOR,4,3,3,10,Sydney
ETH,4,1,3,8,Sydney
UKR,3,10,10,23,Sydney
KAZ,3,4,0,7,Sydney
BLR,3,3,11,17,Sydney
CAN,3,3,8,14,Sydney
ESP,3,3,5,11,Sydney
TUR,3,0,2,5,Sydney
IRI,3,0,1,4,Sydney
CZE,2,3,3,8,Sydney
KEN,2,3,2,7,Sydney
DEN,2,3,1,6,Sydney
FIN,2,1,1,4,Sydney
AUT,2,1,0,3,Sydney
LTU,2,0,3,5,Sydney
BAH,2,0,1,3,Sydney
AZE,2,0,1,3,Sydney
SLO,2,0,0,2,Sydney
SUI,1,6,2,9,Sydney
INA,1,3,2,6,Sydney
SVK,1,3,1,5,Sydney
MEX,1,2,3,6,Sydney
NGR,1,2,0,3,Sydney
ALG,1,1,3,5,Sydney
UZB,1,1,2,4,Sydney
YUG,1,1,1,3,Sydney
LAT,1,1,1,3,Sydney
NZL,1,0,3,4,Sydney
THA,1,0,2,3,Sydney
EST,1,0,2,3,Sydney
CRO,1,0,1,2,Sydney
CMR,1,0,0,1,Sydney
COL,1,0,0,1,Sydney
